month,mom_pct_new_packages,mom_pct_releases
2025-05-01,-2.3723,2.9413
2025-06-01,6.9777,-1.1852
2025-07-01,-3.3205,2.3386
2025-08-01,-7.9132,-4.551
2025-09-01,5.2268,7.4589
2025-10-01,1.2628,4.4283
2025-11-01,7.8484,-1.9385
2025-12-01,7.8245,-0.128
2026-01-01,17.1874,14.7146
2026-02-01,22.3537,12.6683
2026-03-01,27.9033,29.4526
2026-04-01,-2.5535,-1.2532
