month,mom_pct_new_crates,mom_pct_new_versions
2025-06-01,1.4735,-12.4125
2025-07-01,8.6847,23.2042
2025-08-01,3.5714,0.6
2025-09-01,-0.8435,-0.454
2025-10-01,21.8664,14.5474
2025-11-01,8.9304,-3.3333
2025-12-01,27.0637,27.9427
2026-01-01,28.4485,21.364
2026-02-01,12.6443,15.8834
2026-03-01,49.8719,40.2571
2026-04-01,-4.1313,13.6359
2026-05-01,17.3873,16.1956
