month,new_crates
2014-11-01,363
2014-12-01,234
2015-01-01,248
2015-02-01,169
2015-03-01,233
2015-04-01,235
2015-05-01,268
2015-06-01,222
2015-07-01,205
2015-08-01,234
2015-09-01,164
2015-10-01,204
2015-11-01,200
2015-12-01,209
2016-01-01,222
2016-02-01,269
2016-03-01,284
2016-04-01,253
2016-05-01,269
2016-06-01,258
2016-07-01,271
2016-08-01,307
2016-09-01,413
2016-10-01,353
2016-11-01,282
2016-12-01,407
2017-01-01,404
2017-02-01,378
2017-03-01,422
2017-04-01,409
2017-05-01,497
2017-06-01,510
2017-07-01,458
2017-08-01,444
2017-09-01,475
2017-10-01,492
2017-11-01,493
2017-12-01,494
2018-01-01,526
2018-02-01,620
2018-03-01,685
2018-04-01,559
2018-05-01,558
2018-06-01,493
2018-07-01,542
2018-08-01,664
2018-09-01,657
2018-10-01,851
2018-11-01,765
2018-12-01,764
2019-01-01,908
2019-02-01,883
2019-03-01,936
2019-04-01,842
2019-05-01,907
2019-06-01,872
2019-07-01,1033
2019-08-01,929
2019-09-01,977
2019-10-01,1067
2019-11-01,1019
2019-12-01,1008
2020-01-01,1277
2020-02-01,1401
2020-03-01,1231
2020-04-01,1379
2020-05-01,1597
2020-06-01,1314
2020-07-01,1436
2020-08-01,1617
2020-09-01,1487
2020-10-01,1423
2020-11-01,1334
2020-12-01,1561
2021-01-01,1656
2021-02-01,1507
2021-03-01,1903
2021-04-01,1997
2021-05-01,1732
2021-06-01,1450
2021-07-01,1469
2021-08-01,1670
2021-09-01,1410
2021-10-01,1793
2021-11-01,1644
2021-12-01,1615
2022-01-01,2136
2022-02-01,1781
2022-03-01,2073
2022-04-01,1829
2022-05-01,2395
2022-06-01,1950
2022-07-01,2012
2022-08-01,2118
2022-09-01,2101
2022-10-01,2407
2022-11-01,2450
2022-12-01,2194
2023-01-01,2758
2023-02-01,2679
2023-03-01,3105
2023-04-01,2797
2023-05-01,2938
2023-06-01,2486
2023-07-01,2602
2023-08-01,2682
2023-09-01,2454
2023-10-01,2637
2023-11-01,2754
2023-12-01,2544
2024-01-01,3240
2024-02-01,2764
2024-03-01,2993
2024-04-01,2938
2024-05-01,2677
2024-06-01,2544
2024-07-01,3145
2024-08-01,3377
2024-09-01,2770
2024-10-01,3200
2024-11-01,3184
2024-12-01,3130
2025-01-01,3135
2025-02-01,3360
2025-03-01,3821
2025-04-01,3955
2025-05-01,3529
2025-06-01,3581
2025-07-01,3892
2025-08-01,4031
2025-09-01,3997
2025-10-01,4871
2025-11-01,5306
2025-12-01,6742
2026-01-01,8660
2026-02-01,9755
2026-03-01,14620
2026-04-01,14016
2026-05-01,16453
